epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,1182.86,0.78474,0.60093,0.9337,0.98883,0.98884,0.99308,0.84053,0.64521,0.61386,0.92071,0.000925775,0.000925775,0.000925775
133,1191.64,0.70453,0.54559,0.87232,0.99519,0.98767,0.99261,0.83521,0.65465,0.58954,0.92126,0.0009233,0.0009233,0.0009233
134,1200.5,0.74794,0.6151,0.91977,0.99609,0.99102,0.99295,0.83067,0.66007,0.58188,0.91822,0.000920825,0.000920825,0.000920825
135,1209.24,0.72623,0.64173,0.95652,0.99155,0.99219,0.99365,0.82517,0.66652,0.59871,0.91977,0.00091835,0.00091835,0.00091835
136,1217.94,0.81245,0.64137,0.99997,0.97994,0.99219,0.99477,0.8326,0.67931,0.60917,0.92714,0.000915875,0.000915875,0.000915875
137,1226.78,0.69718,0.60784,0.9269,0.98396,1,0.995,0.83023,0.67609,0.59441,0.92658,0.0009134,0.0009134,0.0009134
138,1235.47,0.76383,0.57341,0.90115,0.98953,1,0.995,0.83304,0.65642,0.56777,0.92084,0.000910925,0.000910925,0.000910925
139,1244.41,0.72632,0.59465,0.97688,0.99062,0.99864,0.995,0.83021,0.64116,0.54946,0.91785,0.00090845,0.00090845,0.00090845
140,1253.01,0.75534,0.58978,0.94621,0.99486,0.99974,0.995,0.8282,0.65669,0.53558,0.92248,0.000905975,0.000905975,0.000905975
141,1261.84,0.70404,0.53103,0.90864,0.99262,1,0.995,0.84376,0.63195,0.51904,0.91488,0.0009035,0.0009035,0.0009035
142,1270.82,0.73654,0.54661,0.86126,0.99072,1,0.995,0.84996,0.61225,0.51941,0.90689,0.000901025,0.000901025,0.000901025
143,1280.21,0.73028,0.5772,0.92963,0.9895,1,0.995,0.83898,0.62111,0.50653,0.90653,0.00089855,0.00089855,0.00089855
144,1289.16,0.74255,0.59336,0.95377,0.9882,1,0.995,0.84061,0.63065,0.49872,0.90778,0.000896075,0.000896075,0.000896075
145,1297.92,0.73703,0.55885,0.93544,0.99261,0.99783,0.995,0.84019,0.64919,0.49664,0.91691,0.0008936,0.0008936,0.0008936
146,1306.89,0.67812,0.55349,0.92177,0.99549,0.99417,0.995,0.83761,0.64577,0.48967,0.91515,0.000891125,0.000891125,0.000891125
147,1315.74,0.69093,0.50923,0.92789,0.99701,0.99295,0.995,0.84802,0.6114,0.479,0.90141,0.00088865,0.00088865,0.00088865
148,1324.93,0.65274,0.5711,0.99301,0.99608,0.99419,0.995,0.85589,0.61042,0.47201,0.901,0.000886175,0.000886175,0.000886175
149,1334.09,0.67577,0.50884,0.90675,0.99013,1,0.995,0.85325,0.61406,0.47572,0.90379,0.0008837,0.0008837,0.0008837
150,1342.94,0.6312,0.56591,0.88845,0.98422,1,0.995,0.85275,0.60809,0.48395,0.90164,0.000881225,0.000881225,0.000881225
151,1352.05,0.64617,0.5146,0.86499,0.98884,1,0.995,0.8495,0.61033,0.48456,0.9018,0.00087875,0.00087875,0.00087875
152,1360.97,0.59787,0.53033,0.92415,0.99436,1,0.995,0.85296,0.60395,0.47451,0.8996,0.000876275,0.000876275,0.000876275
153,1369.72,0.63479,0.51749,0.9263,0.99298,0.9981,0.995,0.8495,0.60859,0.47127,0.90158,0.0008738,0.0008738,0.0008738
154,1378.45,0.66961,0.49704,0.88761,0.9944,0.99449,0.995,0.8476,0.61873,0.47565,0.90697,0.000871325,0.000871325,0.000871325
155,1387.34,0.68498,0.51497,0.89743,0.99479,0.99347,0.995,0.85252,0.60679,0.47128,0.90529,0.00086885,0.00086885,0.00086885
156,1396.13,0.61954,0.5685,0.88359,0.99476,0.99233,0.995,0.86158,0.59382,0.48386,0.90211,0.000866375,0.000866375,0.000866375
157,1404.99,0.71717,0.55946,0.96869,0.99396,0.99188,0.995,0.85282,0.59973,0.49148,0.9039,0.0008639,0.0008639,0.0008639
158,1413.81,0.66691,0.49974,0.92772,0.99014,0.99157,0.995,0.85353,0.61783,0.49726,0.90859,0.000861425,0.000861425,0.000861425
159,1422.79,0.64678,0.50723,0.87957,0.9865,0.99258,0.995,0.85391,0.6173,0.48994,0.90913,0.00085895,0.00085895,0.00085895
160,1431.91,0.60921,0.53685,0.928,0.99001,0.9926,0.995,0.84861,0.61852,0.48738,0.90873,0.000856475,0.000856475,0.000856475
161,1441.15,0.72524,0.58495,0.94161,0.99329,0.99298,0.995,0.85582,0.61281,0.48571,0.90472,0.000854,0.000854,0.000854
162,1449.95,0.71251,0.5287,0.91688,0.99587,0.99315,0.995,0.86186,0.59267,0.48081,0.89714,0.000851525,0.000851525,0.000851525
163,1458.85,0.72736,0.52999,0.95124,0.99709,0.99388,0.995,0.86332,0.58703,0.47783,0.89621,0.00084905,0.00084905,0.00084905
164,1467.76,0.67672,0.54841,0.9432,0.99541,0.99631,0.995,0.85361,0.6029,0.47476,0.90332,0.000846575,0.000846575,0.000846575
165,1476.73,0.73789,0.54718,0.90017,0.99412,0.99855,0.995,0.85838,0.59059,0.47354,0.90061,0.0008441,0.0008441,0.0008441
166,1485.53,0.68824,0.53783,0.91722,0.99585,0.9971,0.995,0.85918,0.57718,0.46721,0.89888,0.000841625,0.000841625,0.000841625
167,1494.27,0.77362,0.59141,0.95946,0.997,0.9943,0.995,0.8637,0.57328,0.47088,0.89894,0.00083915,0.00083915,0.00083915
168,1503.32,0.73868,0.56848,0.93859,0.99787,0.99308,0.995,0.86442,0.57892,0.46578,0.89841,0.000836675,0.000836675,0.000836675
169,1512.37,0.66505,0.51332,0.88021,0.99697,0.9931,0.995,0.86037,0.57804,0.45887,0.89745,0.0008342,0.0008342,0.0008342
170,1521.28,0.63302,0.50072,0.92031,0.99357,0.99846,0.995,0.86196,0.56739,0.45442,0.89601,0.000831725,0.000831725,0.000831725
171,1530.27,0.64004,0.49717,0.88977,0.99445,0.99905,0.995,0.86436,0.5719,0.4501,0.8975,0.00082925,0.00082925,0.00082925
172,1539.16,0.61462,0.50058,0.90455,0.99514,0.99989,0.995,0.86501,0.56689,0.45066,0.89664,0.000826775,0.000826775,0.000826775
173,1548.24,0.53881,0.48908,0.85997,0.99526,1,0.995,0.86155,0.56874,0.45506,0.89754,0.0008243,0.0008243,0.0008243
174,1557.13,0.68112,0.50357,0.97363,0.996,1,0.995,0.85809,0.57679,0.45974,0.898,0.000821825,0.000821825,0.000821825
175,1566.3,0.67463,0.50864,0.87419,0.9959,1,0.995,0.85496,0.58409,0.46082,0.89923,0.00081935,0.00081935,0.00081935
176,1575.77,0.66986,0.52405,0.94535,0.99676,1,0.995,0.85062,0.60842,0.46458,0.90255,0.000816875,0.000816875,0.000816875
177,1584.97,0.65336,0.48693,0.89711,0.99694,1,0.995,0.86337,0.58599,0.45806,0.89553,0.0008144,0.0008144,0.0008144
178,1593.78,0.66936,0.68232,0.9815,0.99613,1,0.995,0.85319,0.5794,0.46279,0.8932,0.000811925,0.000811925,0.000811925
179,1602.62,0.72509,0.5094,0.90621,0.99544,1,0.995,0.85135,0.59046,0.45881,0.89524,0.00080945,0.00080945,0.00080945
180,1611.49,0.65723,0.47884,0.87926,0.99515,1,0.995,0.85068,0.60729,0.44924,0.89912,0.000806975,0.000806975,0.000806975
181,1620.35,0.6624,0.49624,0.91073,0.99595,1,0.995,0.86776,0.56541,0.43684,0.88647,0.0008045,0.0008045,0.0008045
